track_lat,vehicle_lat,track_lon,vehicle_lon,track_alt,vehicle_alt
43.254350138383394,43.254382,-79.93742974657711,-79.9373949,3,106.11
43.25430522261919,43.2543536,-79.93744208066906,-79.9374074,3,106.11
43.25426030685498,43.2543145,-79.9374544147519,-79.9374213,3,106.11
43.254215391090774,43.2542684,-79.93746674882564,-79.9374338,3,106.11
43.25417047532657,43.2542182,-79.93747908289029,-79.9374454,3,106.11
43.25412555956236,43.2541685,-79.93749141694585,-79.937459,3,106.11
43.254080643798154,43.25412,-79.9375037509923,-79.9374726,3,106.11
43.25403572803395,43.2540736,-79.93751608502967,-79.9374841,3,106.1
43.254080643798154,43.2540397,-79.93752841905794,-79.9374923,3,106.11
43.25403572803395,43.254032,-79.9375407530953,-79.937501,3,106.1
43.25399081226974,43.254024,-79.93755308712358,-79.9375163,3,106.1
